"Opportunity Name","New MRR (converted) Currency","New MRR (converted)","Net MRR (converted) Currency","Net MRR (converted)","Net TCV (converted) Currency","Net TCV (converted)","NRR (converted) Currency","NRR (converted)","Country of Origin","Account Name","Sales Type","TransactionTypeList","Opportunity Owner","Created Date","Close Date","Primary Campaign Purpose","Campaign Type","Campaign Name","Country of Origin","Created Date","Start Date","Opportunity Owner: Manager","Reporting Business Unit","Category","Sub-Category","Stage"
"Cefric - Internet zona 09 Centro de Monitoreo","USD","535.00","USD","535.00","USD","12840.00","USD","0.00","Guatemala","Central de Fricciones y Clutches, S.A. cefric","New Customer","New Service","Miriam Rosales","05-09-2023","10-19-2023","Lead Generation","Telemarketing","LATAM_GUA_OutboundInsideSales_ENT_2023","Guatemala","01-06-2023","01-06-2023","Barbara Paola Aguilar","LatAmENT","Telesales","","Closed Won"
"Cefric - Cuentas de Correo MS 365","USD","149.00","USD","149.00","USD","1788.00","USD","0.00","Guatemala","Central de Fricciones y Clutches, S.A. cefric","New Customer","New Service","Miriam Rosales","05-11-2023","07-18-2023","Lead Generation","Telemarketing","LATAM_GUA_OutboundInsideSales_ENT_2023","Guatemala","01-06-2023","01-06-2023","Barbara Paola Aguilar","LatAmENT","Telesales","","Closed Won"
"Mumuso- Conectividad Internet","USD","1234.00","USD","1234.00","USD","31116.00","USD","1500.00","Guatemala","NEW RETAIL, SOCIEDAD ANONIMA","New Customer","New Service","Miriam Rosales","04-08-2024","08-16-2024","Sales Tracking","Advertisement","LATAM_Gua_Event_VisitaDataCenter_Ent_Apr2024","Guatemala","02-28-2024","04-03-2024","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Solution Design"
"Mumuso - Cuentas MS365","USD","424.00","USD","424.00","USD","5088.00","USD","0.00","Guatemala","NEW RETAIL, SOCIEDAD ANONIMA","New Customer","New Service","Miriam Rosales","04-18-2024","06-04-2024","Sales Tracking","Advertisement","LATAM_Gua_Event_Office365_Ent_May2024","Guatemala","03-01-2024","05-07-2024","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Won"
"Polisuelas  - IaaS GT","USD","1860.00","USD","1860.00","USD","66960.00","USD","0.00","Guatemala","POLI SUELAS SOCIEDAD ANONIMA","New Customer","New Service","Miriam Rosales","10-13-2021","07-28-2023","Sales Tracking","Seminar / Conference","LATAM_GUA_Event_VisitaDataCenter_Ago2023","Guatemala","07-28-2023","08-16-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Won"
"Repuestos impressa - Wifi Centro de Distribucion + 150 Mbps Internet 2023","USD","1158.00","USD","1158.00","USD","27792.00","USD","0.00","Guatemala","IMPRESSA, S.A. DE C.V.","New Customer","New Service","Miriam Rosales","01-24-2023","04-28-2023","Sales Tracking","One-to-One Sessions","LATAM_GUA_Event_OnetoOne_Ent_2023","Guatemala","01-03-2023","01-03-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Won"
"Grupo tucan - Internet 10 Mbps Villa nueva sucursal agosto 2023","USD","110.00","USD","110.00","USD","2640.00","USD","0.00","Guatemala","INTERMEDIARIOS QUIMICOS, SOCIEDAD ANONIMA","Upsale","New Service","Miriam Rosales","08-16-2023","08-23-2023","Sales Tracking","Seminar / Conference","LATAM_GUA_Event_CybersecurityMaturityModel_Ent_Jun2023","Guatemala","06-13-2023","06-20-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Won"
"Crelosa - Internet 120 Mbps y enlace de datos 65 Mbps","USD","606.00","USD","606.00","USD","16494.00","USD","1950.00","Guatemala","CRELOSA","New Customer","New Service","Miriam Rosales","05-22-2023","09-05-2023","Lead Generation","Telemarketing","LATAM_GUA_OutboundInsideSales_ENT_2023","Guatemala","01-06-2023","01-06-2023","Barbara Paola Aguilar","LatAmENT","Telesales","","Closed Lost"
"Lebolsha-Internet 50 Mbps 2023","USD","270.00","USD","270.00","USD","6480.00","USD","0.00","Guatemala","Bolsos y Complementos, S.A.","New Customer","New Service","Miriam Rosales","04-19-2023","06-12-2023","Sales Tracking","Seminar / Conference","LATAM_GUA_Event_DDoS_Ent_May2023","Guatemala","02-09-2023","05-04-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Won"
"Oriflame DR - Renovacion Regional 2024","USD","50.00","USD","-800.00","USD","-27050.00","USD","0.00","Guatemala","ORIFLAME Dominicana, S.A.S","Crossale","New Service; Disconnection; Reconfiguration; Renewal","Brayan Hernandez","05-10-2024","06-20-2024","Sales Tracking","Advertisement","LATAM_Gua_Event_Vulnerability Management_Ent_Mar2024","Guatemala","03-01-2024","03-19-2024","Sonia Niño","LatAmENT","Event","One-to-Few","Closed Won"
"GRUPO CIVICA-","USD","0.00","USD","0.00","","","USD","0.00","Guatemala","GRUPO CIVICA","New Customer","","Miriam Rosales","01-16-2023","03-31-2023","Lead Generation","Telemarketing","LATAM_GUA_ProspectingPalmera_ENT_2023","Guatemala","01-16-2023","01-16-2023","Barbara Paola Aguilar","LatAmENT","Telesales","","Closed Lost"
"Cantel - Internet 20 Mbps","USD","300.00","USD","300.00","USD","7200.00","USD","0.00","Guatemala","Comercializadora Cantel","New Customer","New Service","Miriam Rosales","04-23-2024","02-27-2025","Brand Awareness","Advertisement","LATAM_Gua_Event_Lanzamiento Xela_Ent_Apr2024","Guatemala","04-22-2024","04-18-2024","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Solution Design"
"Promoagro - Internet zona 9 2023","USD","465.00","USD","465.00","USD","11160.00","USD","0.00","Guatemala","Promociones Agricolas Industriales y Comerciales S.A.","Upsale","New Service","Miriam Rosales","04-21-2021","10-06-2023","Sales Tracking","Seminar / Conference","LATAM_GUA_Event_DemoSDWANFortinet_Ago2023","Guatemala","08-10-2023","08-24-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Won"
"Colegio de Ingenieros + Conectividad y Firewall administrados Quetzales","USD","2633.33","USD","2633.33","USD","63200.00","USD","0.00","Guatemala","COLEGIO DE INGENIEROS DE GUATEMALA","New Customer","New Service","Miriam Rosales","01-23-2024","03-01-2024","Sales Tracking","Advertisement","LATAM_Gua_Event_VisitaDataCenter_Ent_Apr2024","Guatemala","02-28-2024","04-03-2024","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Lost"
"Colegio de ingenieros - Internet + Firewall 80f quetzales","USD","650.19","USD","650.19","USD","15604.62","USD","0.00","Guatemala","COLEGIO DE INGENIEROS DE GUATEMALA","New Customer","New Service","Miriam Rosales","03-01-2024","03-14-2024","Sales Tracking","Advertisement","LATAM_Gua_Event_VisitaDataCenter_Ent_Apr2024","Guatemala","02-28-2024","04-03-2024","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Won"
"Searsmartwifi","USD","0.00","USD","0.00","","","USD","0.00","Guatemala","GRUPO ALBAVISION GT","New Customer","","Miriam Rosales","03-06-2024","04-26-2024","Lead Generation","Advertisement","LATAM_Gua_Prod_Outbound Inside Sales_Ent_Jan2024","Guatemala","01-08-2024","01-01-2024","Barbara Paola Aguilar","LatAmENT","Telesales","","Closed Lost"
"Vintage - CCoD 2024","USD","3724.00","USD","3724.00","USD","90126.00","USD","750.00","Guatemala","Grupo Vintage Sociedad Anonima","Upsale/Crossale","New Service","Miriam Rosales","12-05-2023","10-31-2024","Sales Tracking","Seminar / Conference","LATAM_GUA_Event_CCoDBrightPattern_Nov2023","Guatemala","10-17-2023","11-08-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Proposal Submitted"
"BEQT-  GTQ. Internet 30 Mbps junio 2024 Quetzales","USD","462.13","USD","462.13","USD","11842.08","USD","751.00","Guatemala","Research Triangle Institute / Proyecto BEQT / USAID","Upsale/Crossale","New Service","Miriam Rosales","06-27-2024","07-01-2024","Sales Tracking","Advertisement","LATAM_Gua_Event_Boxes And Security Fabric_Ent_Jul2024","Guatemala","03-01-2024","07-11-2024","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Proposal Submitted"
"Flushing ' Redundancia de conectividad","USD","380.00","USD","380.00","USD","9120.00","USD","0.00","Guatemala","FLUSHING SOCIEDAD ANONIMA","Upsale/Crossale","New Service","Miriam Rosales","06-30-2022","04-05-2024","Sales Tracking","Seminar / Conference","LATAM_GUA_Event_RelanzamientoSDWAN_Nov2023","Guatemala","08-04-2023","11-28-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Lost"
"Flushing - telefonia IP","USD","338.49","USD","338.49","USD","8123.77","USD","0.00","Guatemala","FLUSHING SOCIEDAD ANONIMA","Upsale/Crossale","New Service","Miriam Rosales","12-01-2023","04-02-2024","Sales Tracking","Seminar / Conference","LATAM_GUA_Event_RelanzamientoSDWAN_Nov2023","Guatemala","08-04-2023","11-28-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Lost"
"Comape _ internet + firewall 2023","USD","510.00","USD","510.00","USD","12240.00","USD","0.00","Guatemala","Comercial Agropecuaria Europea - COMAPE","New Customer","New Service","Miriam Rosales","04-19-2023","06-01-2023","Lead Generation","Telemarketing","LATAM_GUA_OutboundInsideSales_ENT_2023","Guatemala","01-06-2023","01-06-2023","Barbara Paola Aguilar","LatAmENT","Telesales","","Closed Lost"
"Aquasistemas - 100 Mbps Internet zona 8","USD","550.00","USD","550.00","USD","13200.00","USD","0.00","Guatemala","Aquasistemas","New Customer","New Service","Miriam Rosales","05-11-2023","06-01-2023","Lead Generation","Telemarketing","LATAM_GUA_OutboundInsideSales_ENT_2023","Guatemala","01-06-2023","01-06-2023","Barbara Paola Aguilar","LatAmENT","Telesales","","Closed Lost"
"Celtech - ampliación 1000 Gigas a cuenta de bolsón","USD","0.00","USD","0.00","USD","0.00","USD","0.00","Guatemala","CELTECH SOCIEDAD ANONIMA","Upsale","Reconfiguration","Miriam Rosales","05-06-2024","06-28-2024","Brand Awareness","Advertisement","LATAM_Gua_Event_Lanzamiento Xela_Ent_Apr2024","Guatemala","04-22-2024","04-18-2024","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Won"
"CELTECH - Renovación 2024","USD","540.00","USD","-6.80","USD","-163.20","USD","0.00","Guatemala","CELTECH SOCIEDAD ANONIMA","Upsale","New Service; Upgrade; Reconfiguration; Renewal","Miriam Rosales","04-16-2024","06-25-2024","Sales Tracking","Advertisement","LATAM_Gua_Event_Desayuno Monitoreo Proactivo_Ent_May2024","Guatemala","03-01-2024","05-21-2024","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Won"
"GUATEPLAST/NUEVO SERVICIO/ INTERNET","USD","500.00","USD","500.00","USD","12000.00","USD","0.00","Guatemala","Fabrica de Articulos Plasticos Guateplast S.A. / Guateplast","New Customer","New Service","Victor Garcia Mejia","10-12-2023","05-02-2024","Lead Generation","Telemarketing","LATAM_GUA_OutboundInsideSales_ENT_2023","Guatemala","01-06-2023","01-06-2023","Jose Montenegro","LatAmENT","Telesales","","Closed Lost"
"INTERNET UMG - JOCOTENANGO","USD","1600.00","USD","1600.00","USD","19200.00","USD","0.00","Guatemala","Universidad Mariano Galvez de Guatemala","Upsale","New Service","Sucel Karina Cabrera","11-14-2023","12-29-2023","Sales Tracking","Advertisement","LATAM_Reg_Event_Education Summit_Ent_Mar2024","Latam Region","01-24-2024","03-13-2024","Barbara Paola Aguilar","LatAmENT","Event","Special Event","Closed Won"
"UMG - REDUNDANCIA 4 SEDES 2024","USD","6200.00","USD","6200.00","USD","74400.00","USD","0.00","Guatemala","Universidad Mariano Galvez de Guatemala","Upsale","New Service","Sucel Karina Cabrera","03-06-2024","06-21-2024","Sales Tracking","Advertisement","LATAM_Reg_Event_Education Summit_Ent_Mar2024","Latam Region","01-24-2024","03-13-2024","Barbara Paola Aguilar","LatAmENT","Event","Special Event","Closed Won"
"UMG- CONECTIVIDAD ODONTOLOGIA COBAN, A.V.","USD","500.00","USD","500.00","USD","6000.00","USD","0.00","Guatemala","Universidad Mariano Galvez de Guatemala","Upsale","New Service","Sucel Karina Cabrera","05-27-2024","06-21-2024","Sales Tracking","Advertisement","LATAM_Reg_Event_Education Summit_Ent_Mar2024","Latam Region","01-24-2024","03-13-2024","Barbara Paola Aguilar","LatAmENT","Event","Special Event","Closed Won"
"Consejeros Internet + Firewall","USD","150.00","USD","150.00","USD","3600.00","USD","0.00","Guatemala","Consejeros en Finanzas Empresariales S.A.","Upsale/Crossale","New Service","Jose DeLeon","04-21-2023","05-29-2023","Lead Generation","Telemarketing","LATAM_GUA_OutboundInsideSales_ENT_2023","Guatemala","01-06-2023","01-06-2023","Barbara Paola Aguilar","LatAmENT","Telesales","","Closed Lost"
"DISRESA - CONECTIVIDAD 200MB","USD","1200.00","USD","1200.00","USD","28800.00","USD","0.00","Guatemala","Distribuciones y servicios Regionales","New Customer","New Service","Sucel Karina Cabrera","01-23-2024","07-10-2024","Lead Generation","Advertisement","LATAM_Gua_Web_WebsiteLeads_Ent_2024","Guatemala","01-23-2024","01-01-2024","Barbara Paola Aguilar","LatAmENT","Website","General Forms","Proposal Submitted"
"DISRESA CONECTIVIDAD EL RODEO","USD","625.00","USD","625.00","USD","15000.00","USD","0.00","Guatemala","Distribuciones y servicios Regionales","New Customer","New Service","Sucel Karina Cabrera","01-22-2024","01-29-2024","Lead Generation","Advertisement","LATAM_Gua_Web_WebsiteLeads_Ent_2024","Guatemala","01-23-2024","01-01-2024","Barbara Paola Aguilar","LatAmENT","Website","General Forms","Closed Lost"
"INAB CONECTIVIDAD RABINAL","USD","250.00","USD","250.00","USD","3000.00","USD","0.00","Guatemala","INSTITUTO NACIONAL DE BOSQUES INAB","New Customer","New Service","Sucel Karina Cabrera","02-21-2023","04-11-2023","Lead Generation","Telemarketing","LATAM_GUA_OutboundInsideSales_ENT_2023","Guatemala","01-06-2023","01-06-2023","Barbara Paola Aguilar","LatAmENT","Telesales","","Closed Lost"
"KELLOGG DE CENTROAMERICA - CONECTIVIDAD 2023","USD","595.00","USD","595.00","USD","7140.00","USD","0.00","Guatemala","KELLOGG DE CENTRO AMÉRICA, S.A.","New Customer","New Service","Sucel Karina Cabrera","05-05-2023","10-23-2023","Lead Generation","Telemarketing","LATAM_GUA_OutboundInsideSales_ENT_2023","Guatemala","01-06-2023","01-06-2023","Barbara Paola Aguilar","LatAmENT","Telesales","","Closed Won"
"D&A LICENCIAS OFFICE 365","USD","657.00","USD","657.00","USD","7884.00","USD","0.00","Guatemala","D&A PROJECT MANAGEMENT, SOCIEDAD ANÓNIMA","New Customer","New Service","Sucel Karina Cabrera","05-10-2024","05-21-2024","Sales Tracking","Advertisement","LATAM_Gua_Event_Office365_Ent_May2024","Guatemala","03-01-2024","05-07-2024","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Won"
"PRECON -  10 LICENCIAS OFFICE 365","USD","230.00","USD","230.00","USD","2760.00","USD","0.00","Guatemala","MNLT GUATEMALA SOCIEDAD ANONIMA","Crossale","New Service","Sucel Karina Cabrera","05-09-2024","05-16-2024","Sales Tracking","Advertisement","LATAM_Gua_Event_Office365_Ent_May2024","Guatemala","03-01-2024","05-07-2024","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Won"
"BIMBO CCOD","USD","1250.00","USD","1250.00","USD","30008.00","USD","8.00","Guatemala","Bimbo de Centroamerica","New Customer","New Service","Sucel Karina Cabrera","02-06-2023","01-29-2024","Lead Generation","Telemarketing","LATAM_GUA_OutboundInsideSales_ENT_2023","Guatemala","01-06-2023","01-06-2023","Barbara Paola Aguilar","LatAmENT","Telesales","","Closed Lost"
"PRECON IAAS","USD","7550.00","USD","7550.00","USD","271800.00","USD","0.00","Guatemala","PREESFORZADOS Y CONSTRUCCIONES SOCIEDAD ANONIMA","Crossale","New Service","Sucel Karina Cabrera","01-07-2021","08-30-2023","Lead Generation","Tradeshow","LATAM_GUA_Event_IntegraSponsor_Ent_Apr2023","Guatemala","04-11-2023","04-20-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Won"
"PRECON CONECTIVIDAD PLANTA 1","USD","550.00","USD","550.00","USD","13200.00","USD","0.00","Guatemala","PREESFORZADOS Y CONSTRUCCIONES SOCIEDAD ANONIMA","Upsale","New Service","Sucel Karina Cabrera","03-28-2023","04-25-2023","Sales Tracking","One-to-One Sessions","LATAM_GUA_Event_OnetoOne_Ent_2023","Guatemala","01-03-2023","01-03-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Won"
"IMPELSA CONECTIVIDAD + SEGURIDAD GUATEMALA","USD","1985.00","USD","1860.00","USD","66960.00","USD","0.00","Guatemala","IMPORTADORA DE MATERIALES ELECTRICOS SOCIEDAD ANONIMA","Upsale","New Service; Renewal","Sucel Karina Cabrera","07-14-2023","01-31-2024","Sales Tracking","Seminar / Conference","LATAM_GUA_Event_CybersecurityMaturityModel_Ent_Jun2023","Guatemala","06-13-2023","06-20-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Won"
"IMPELSA IAAS - SAP","USD","1800.00","USD","1800.00","USD","43200.00","USD","0.00","Guatemala","IMPORTADORA DE MATERIALES ELECTRICOS SOCIEDAD ANONIMA","Upsale/Crossale","New Service","Sucel Karina Cabrera","07-26-2023","09-12-2024","Sales Tracking","Seminar / Conference","LATAM_GUA_Event_VisitaDataCenter_Ago2023","Guatemala","07-28-2023","08-16-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Solution Design"
"IMPELSA CONECTIVIDAD PUERTO BARRIOS","USD","230.00","USD","230.00","USD","5520.00","USD","0.00","Guatemala","IMPORTADORA DE MATERIALES ELECTRICOS SOCIEDAD ANONIMA","Crossale","New Service","Sucel Karina Cabrera","08-01-2023","09-19-2023","Sales Tracking","Seminar / Conference","LATAM_GUA_Event_CybersecurityMaturityModel_Ent_Jun2023","Guatemala","06-13-2023","06-20-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Won"
"Diveco -RENOVACion 2023 IaaS y MPLS","USD","7305.00","USD","-3050.10","USD","-209407.90","USD","0.00","Guatemala","DIVECO SOCIEDAD ANONIMA","Upsale/Crossale","New Service; Disconnection; Migration; Upgrade; Reconfiguration; Renewal","Sucel Karina Cabrera","05-20-2022","12-28-2023","Sales Tracking","Seminar / Conference","LATAM_GUA_Event_DemoSDWANFortinet_Sep2023","Guatemala","09-08-2023","09-19-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Lost"
"INHARSA FORTI EQUIPO SECUNDARIO","USD","4890.00","USD","4890.00","USD","58680.00","USD","0.00","Guatemala","INDUSTRIA DE HAMBURGUESAS SOCIEDAD ANONIMA","Upsale/Crossale","New Service","Sucel Karina Cabrera","06-24-2022","10-06-2023","Sales Tracking","Special Events","LATAM_GUA_Enterprise_Event_VIPLinks_Jun2023","Guatemala","07-18-2023","06-21-2023","Barbara Paola Aguilar","LatAmENT","Event","Special Event","Closed Lost"
"WINDS - APPAREL TAI","USD","550.00","USD","550.00","USD","6600.00","USD","0.00","Guatemala","Winds Enterprises, Sociedad Anónima","New Customer","New Service","Sucel Karina Cabrera","05-03-2023","06-02-2023","Lead Generation","Telemarketing","LATAM_GUA_OutboundInsideSales_ENT_2023","Guatemala","01-06-2023","01-06-2023","Barbara Paola Aguilar","LatAmENT","Telesales","","Closed Lost"
"MAERSK CONECTIVIDAD","USD","490.00","USD","490.00","USD","11760.00","USD","0.00","Guatemala","Maersk Guatemala S.A.","New Customer","New Service","Sucel Karina Cabrera","01-23-2023","07-10-2024","Lead Generation","Telemarketing","LATAM_GUA_OutboundInsideSales_ENT_2023","Guatemala","01-06-2023","01-06-2023","Barbara Paola Aguilar","LatAmENT","Telesales","","Proposal Submitted"
"MAERSK DIGITAL SIGNAGE","USD","300.00","USD","300.00","USD","7200.00","USD","0.00","Guatemala","Maersk Guatemala S.A.","New Customer","New Service","Sucel Karina Cabrera","01-23-2023","10-06-2023","Lead Generation","Telemarketing","LATAM_GUA_OutboundInsideSales_ENT_2023","Guatemala","01-06-2023","01-06-2023","Barbara Paola Aguilar","LatAmENT","Telesales","","Closed Lost"
"TSE CONECTIVIDAD 25MB + SWITCH 48PT  FEB2023","USD","302.56","USD","302.56","USD","3630.77","USD","0.00","Guatemala","Tribunal Supremo Electoral GT","New Customer","New Service","Sucel Karina Cabrera","02-14-2023","03-03-2023","Lead Generation","Telemarketing","LATAM_GUA_OutboundInsideSales_ENT_2023","Guatemala","01-06-2023","01-06-2023","Barbara Paola Aguilar","LatAmENT","Telesales","","Closed Won"
"RGP FORTINET","USD","0.00","USD","0.00","","","USD","0.00","Guatemala","Registro de la Propiedad","New Customer","","Sucel Karina Cabrera","09-22-2023","12-07-2023","Sales Tracking","Seminar / Conference","LATAM_GUA_Event_DemoSDWANFortinet_Ago2023","Guatemala","08-10-2023","08-24-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Lost"
"RENAP INTERNET REDUNDANTE NOG 19410328 QQ","USD","810.26","USD","810.26","USD","9723.08","USD","0.00","Guatemala","Registro  Nacional de Las Personas (RENAP)","Upsale/Crossale","New Service","Sucel Karina Cabrera","02-23-2023","03-05-2023","Lead Generation","Telemarketing","LATAM_GUA_OutboundInsideSales_ENT_2023","Guatemala","01-06-2023","01-06-2023","Barbara Paola Aguilar","LatAmENT","Telesales","","Closed Lost"
"IUNGO - SERVIDORES POWER 2024","USD","6500.00","USD","6500.00","USD","156000.00","USD","0.00","Guatemala","CONTROLES GERENCIALES, SOCIEDAD ANÓNIMA","Upsale/Crossale","New Service","Sucel Karina Cabrera","05-06-2024","06-04-2024","Sales Tracking","Advertisement","LATAM_Reg_Event_DataCenterSecurity Summit_Ent_Jun2024","Latam Region","05-08-2024","06-05-2024","Barbara Paola Aguilar","LatAmRegional","Event","Special Event","Solution Design"
"Red Humana MPLS  / Upgarde Internet","USD","540.43","USD","540.43","USD","12970.21","USD","0.00","Colombia","RED HUMANA SAS","Upsale/Crossale","New Service; Upgrade","Eliseo Obando","02-22-2023","03-31-2023","Lead Generation","Seminar / Conference","COL_Event_Healthcare_Ent_Feb2023","Colombia","01-22-2023","02-16-2023","Julian Cardenas","LatAmENT","Event","One-to-Few","Closed Lost"
"ROBLE Renovacion MWiFi Metrocentro SS 2023","USD","101.20","USD","101.20","USD","1214.40","USD","0.00","El Salvador","Grupo ROBLE (Grupo POMA )- Metrocentro S.A. de C.V. SV","Upsale","Disconnection; Upgrade; Reconfiguration; Renewal","Santos Velasquez","10-26-2022","09-06-2023","Sales Tracking","Special Events","LATAM_ES_Enterprise_Event_VIPLinks_Jun2023","El Salvador","07-18-2023","06-21-2023","Carlos Zamora","LatAmENT","Event","Special Event","Closed Won"
"ROBLE Renovacion MWiFi Metrocentro Sta Ana 2023","USD","0.00","USD","0.00","USD","0.00","USD","0.00","El Salvador","Grupo ROBLE (Grupo POMA )- Metrocentro S.A. de C.V. SV","Upsale","New Service; Upgrade; Renewal","Santos Velasquez","10-26-2022","08-23-2023","Sales Tracking","Special Events","LATAM_ES_Enterprise_Event_VIPLinks_Jun2023","El Salvador","07-18-2023","06-21-2023","Carlos Zamora","LatAmENT","Event","Special Event","Closed Won"
"ROBLE Renovacion MWiFi Metrocentro Sonsonate 2023","USD","0.00","USD","0.00","USD","0.00","USD","0.00","El Salvador","Grupo ROBLE (Grupo POMA )- Metrocentro S.A. de C.V. SV","Upsale","New Service; Upgrade; Renewal","Santos Velasquez","10-26-2022","08-23-2023","Sales Tracking","Special Events","LATAM_ES_Enterprise_Event_VIPLinks_Jun2023","El Salvador","07-18-2023","06-21-2023","Carlos Zamora","LatAmENT","Event","Special Event","Closed Won"
"ROBLE Renovacion MWiFi Metrocentro San Miguel 2023","USD","0.00","USD","0.00","USD","0.00","USD","0.00","El Salvador","Grupo ROBLE (Grupo POMA )- Metrocentro S.A. de C.V. SV","Upsale","New Service; Upgrade; Reconfiguration; Renewal","Santos Velasquez","10-26-2022","08-23-2023","Sales Tracking","Special Events","LATAM_ES_Enterprise_Event_VIPLinks_Jun2023","El Salvador","07-18-2023","06-21-2023","Carlos Zamora","LatAmENT","Event","Special Event","Closed Won"
"ROBLE Renovacion MWiFi Metrocentro Lourdes 2023","USD","0.00","USD","0.00","USD","0.00","USD","0.00","El Salvador","Grupo ROBLE (Grupo POMA )- Metrocentro S.A. de C.V. SV","Upsale","New Service; Upgrade; Renewal","Santos Velasquez","11-16-2022","08-23-2023","Sales Tracking","Special Events","LATAM_ES_Enterprise_Event_VIPLinks_Jun2023","El Salvador","07-18-2023","06-21-2023","Carlos Zamora","LatAmENT","Event","Special Event","Closed Won"
"ROBLE Renovacion MWiFi UNICENTRO Soyapango 2023","USD","0.00","USD","0.00","USD","0.00","USD","0.00","El Salvador","Grupo ROBLE (Grupo POMA )- Metrocentro S.A. de C.V. SV","Upsale","New Service; Upgrade; Renewal","Santos Velasquez","11-16-2022","10-16-2023","Sales Tracking","Special Events","LATAM_ES_Enterprise_Event_VIPLinks_Jun2023","El Salvador","07-18-2023","06-21-2023","Carlos Zamora","LatAmENT","Event","Special Event","Closed Won"
"ROBLE Renovacion MWiFi UNICENTRO Altavista 2023","USD","0.00","USD","0.00","USD","0.00","USD","0.00","El Salvador","Grupo ROBLE (Grupo POMA )- Metrocentro S.A. de C.V. SV","Upsale","New Service; Upgrade; Renewal","Santos Velasquez","11-16-2022","08-23-2023","Sales Tracking","Special Events","LATAM_ES_Enterprise_Event_VIPLinks_Jun2023","El Salvador","07-18-2023","06-21-2023","Carlos Zamora","LatAmENT","Event","Special Event","Closed Won"
"ROBLE Renovacion MWiFi UNICENTRO Metropolis 2023","USD","0.00","USD","0.00","USD","0.00","USD","0.00","El Salvador","Grupo ROBLE (Grupo POMA )- Metrocentro S.A. de C.V. SV","Upsale","New Service; Upgrade; Renewal","Santos Velasquez","11-16-2022","08-23-2023","Sales Tracking","Special Events","LATAM_ES_Enterprise_Event_VIPLinks_Jun2023","El Salvador","07-18-2023","06-21-2023","Carlos Zamora","LatAmENT","Event","Special Event","Closed Won"
"ROBLE Renovacion MWiFi Multiplaza SV 2023","USD","0.00","USD","0.00","USD","0.00","USD","0.00","El Salvador","Grupo ROBLE (Grupo POMA )- Metrocentro S.A. de C.V. SV","Upsale","New Service; Disconnection; Upgrade; Reconfiguration; Renewal","Santos Velasquez","11-16-2022","09-06-2023","Sales Tracking","Special Events","LATAM_ES_Enterprise_Event_VIPLinks_Jun2023","El Salvador","07-18-2023","06-21-2023","Carlos Zamora","LatAmENT","Event","Special Event","Closed Won"
"FACENCO - IaaS","USD","2700.00","USD","2700.00","USD","97200.00","USD","0.00","Guatemala","FACENCO, SOCIEDAD ANONIMA","New Customer","New Service","Rosybel Gonzalez","04-17-2023","01-25-2024","Lead Generation","Tradeshow","LATAM_GUA_Event_IntegraSponsor_Ent_Apr2023","Guatemala","04-11-2023","04-20-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Lost"
"FACENCO - LICENCIAS RDS WS","USD","1200.00","USD","1200.00","USD","43200.00","USD","0.00","Guatemala","FACENCO, SOCIEDAD ANONIMA","Upsale/Crossale","New Service","Rosybel Gonzalez","10-11-2023","01-25-2024","Lead Generation","Tradeshow","LATAM_GUA_Event_IntegraSponsor_Ent_Apr2023","Guatemala","04-11-2023","04-20-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Lost"
