"Opportunity Name","New MRR (converted) Currency","New MRR (converted)","Net MRR (converted) Currency","Net MRR (converted)","Net TCV (converted) Currency","Net TCV (converted)","NRR (converted) Currency","NRR (converted)","Country of Origin","Account Name","Sales Type","TransactionTypeList","Opportunity Owner","Created Date","Close Date","Primary Campaign Purpose","Campaign Type","Campaign Name","Country of Origin","Created Date","Start Date","Opportunity Owner: Manager","Reporting Business Unit","Category","Sub-Category","Stage"
"PANTALEON - ZTNA - 2023","USD","2863.00","USD","2863.00","USD","34356.00","USD","0.00","Guatemala","PANTALEON SOCIEDAD ANONIMA","Upsale","New Service; Reconfiguration","Heidy Alvarado","07-06-2023","11-30-2023","Sales Tracking","Special Events","LATAM_GUA_Enterprise_Event_VIPLinks_Jun2023","Guatemala","07-18-2023","06-21-2023","Barbara Paola Aguilar","LatAmENT","Event","Special Event","Closed Won"
"PANTALEON - WAF-","USD","1980.00","USD","1980.00","USD","72030.00","USD","750.00","Guatemala","PANTALEON SOCIEDAD ANONIMA","Upsale/Crossale","New Service","Heidy Alvarado","07-06-2023","06-05-2024","Sales Tracking","Special Events","LATAM_GUA_Enterprise_Event_VIPLinks_Jun2023","Guatemala","07-18-2023","06-21-2023","Barbara Paola Aguilar","LatAmENT","Event","Special Event","Closed Lost"
"LA PANERIA - TRASLADO  MAYO 2024","USD","0.00","USD","0.00","USD","815.00","USD","815.00","Guatemala","LA PANERIA SOCIEDAD ANONIMA","Upsale/Crossale","Migration","Heidy Alvarado","05-13-2024","06-29-2024","Sales Tracking","Advertisement","LATAM_Gua_Event_Vulnerability Management_Ent_Mar2024","Guatemala","03-01-2024","03-19-2024","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Solution Design"
"CIBERENLACES- CONECTIVIDAD - BARBERENA-","USD","800.00","USD","800.00","USD","28800.00","USD","0.00","Guatemala","CIBERENLACES","New Customer","New Service","Heidy Alvarado","03-14-2023","04-11-2023","Lead Generation","Telemarketing","LATAM_GUA_OutboundInsideSales_ENT_2023","Guatemala","01-06-2023","01-06-2023","Barbara Paola Aguilar","LatAmENT","Telesales","","Closed Lost"
"GRUPO ECONSA- Conectividad - Internet","USD","212.50","USD","212.50","USD","5100.00","USD","0.00","Guatemala","PROQUIMA, SOCIEDAD ANONIMA","New Customer","New Service","Heidy Alvarado","01-24-2023","03-13-2023","Lead Generation","Telemarketing","LATAM_GUA_OutboundInsideSales_ENT_2023","Guatemala","01-06-2023","01-06-2023","Barbara Paola Aguilar","LatAmENT","Telesales","","Closed Won"
"SYPSA - MS365 - MS365 Backup - Fortimail - 98 usuarios","USD","720.60","USD","720.60","USD","8647.20","USD","0.00","Guatemala","Sistemas y Proyectos, Sociedad Anónima","New Customer","New Service","Heidy Alvarado","03-03-2023","06-19-2023","Sales Tracking","Seminar / Conference","LATAM_GUA_Event_Ecosistemas_Ent_Feb2023","Guatemala","02-08-2023","02-21-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-Few","Closed Won"
"CUENTAME- RENOVACION 2023- CCoD-","USD","325.00","USD","-1582.00","USD","-18984.00","USD","0.00","Guatemala","CUENTAME SOCIEDAD ANONIMA","Upsale","New Service; Disconnection; Upgrade; Reconfiguration; Renewal","Heidy Alvarado","01-19-2023","06-30-2023","Sales Tracking","One-to-One Sessions","LATAM_GUA_Event_CierreCuentame_Ent_Ago2023","Guatemala","06-08-2023","08-11-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-One","Closed Won"
"CUENTAME- INTEGRACION CON WHATSAPP-","USD","0.00","USD","0.00","USD","0.00","USD","0.00","Guatemala","CUENTAME SOCIEDAD ANONIMA","Upsale","New Service","Heidy Alvarado","03-20-2023","04-30-2024","Sales Tracking","One-to-One Sessions","LATAM_GUA_Event_CierreCuentame_Ent_Ago2023","Guatemala","06-08-2023","08-11-2023","Barbara Paola Aguilar","LatAmENT","Event","One-to-One","Negotiation"
"SISTEMAS PALACIOS Nuevo IP 30 Gbps Commit+20 Gbps burstable CATAMBUCO","USD","11742.13","USD","11742.13","USD","140905.53","USD","0.00","Wholesale","SP SISTEMAS PALACIOS LTDA","New Customer","New Service","Carolina Lasso","11-21-2023","12-07-2023","Brand Awareness","Tradeshow","Networks_COL_SantaMarta_EXpoISP_2023","Colombia","09-11-2023","10-26-2023","Cesar Lafaurie","Networks","Event","Partner/Sponsor","Closed Won"
"CPM New service IP 500 Mbps","USD","668.09","USD","668.09","USD","8144.68","USD","127.66","Wholesale","CPM TELECOMUNICACIONES S.A.S","New Customer","New Service","Carolina Lasso","03-03-2023","04-14-2023","Lead Generation","Tradeshow","NETWORKS_Event_AndinaLink_Mar2023","Colombia","01-30-2023","03-07-2023","Cesar Lafaurie","Networks","Event","Partner/Sponsor","Closed Won"
