"Reporting Business Unit","Country of Origin","Campaign Name","Owner","Campaign Type","Category","Sub-Category","Primary Campaign Purpose","Num Sent in Campaign","Responses in Campaign","Created Date","Start Date","Product of Interest","Campaign Status","Budgeted Cost in Campaign (converted) Currency","Budgeted Cost in Campaign (converted)","Expected Revenue in Campaign (converted) Currency","Expected Revenue in Campaign (converted)","Opportunities in Campaign","Value Opportunities in Campaign Currency","Value Opportunities in Campaign","Won Opportunities in Campaign","Value Won Opportunities in Campaign Currency","Value Won Opportunities in Campaign","Actual Cost in Campaign (converted) Currency","Actual Cost in Campaign (converted)","ROI","Campaign ID","SF Campaign Id"
"LatAmENT","Colombia","LATAM_COL_Costa_EVENT_OTF(VAL,SIN,MONT)_2024","Camila Rodriguez","Advertisement","","","Lead Generation","0","0","04-01-2024","06-17-2024","Cloud IT; Networking & Connectivity; Security","Planned","USD","3000.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002exi2QAA","7014X000002exi2QAA"
"LatAmSMB","Colombia","LATAM_COL__EVENT_CFXMeetings_MID_2024","Camila Rodriguez","Advertisement","","","Lead Generation","0","0","04-01-2024","04-17-2024","Networking & Connectivity","In Progress","USD","2400.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002exhJQAQ","7014X000002exhJQAQ"
"LatAmENT","Colombia","LATAM_COL_CAL_EVENT_AntiramsomwareMeetings_JUN2024","Camila Rodriguez","Advertisement","Event","One-to-Few","Lead Generation","0","0","04-05-2024","07-17-2024","Security","Planned","USD","1500.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002exwnQAA","7014X000002exwnQAA"
"LatAmENT","Colombia","LATAM_COL_CAL_EVENT_CTNubePublica_MAY2024","Camila Rodriguez","Advertisement","Event","One-to-Few","Lead Generation","0","0","04-05-2024","06-21-2024","Cloud IT","In Progress","USD","1500.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002exwoQAA","7014X000002exwoQAA"
"LatAmENT","Colombia","COL_Event_Healthcare_Ent_Feb2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Lead Generation","25","0","01-22-2023","02-16-2023","Security; It Solution; Networking","Completed","USD","3000.00","USD","3500.00","3","USD","33395.74","0","USD","0.00","USD","2090.00","-100.0000000000","7014X000001ykqXQAQ","7014X000001ykqXQAQ"
"","Colombia","NETWORKS_COL_VEN_FITELVEN_SEP_2023","Camila Rodriguez","Tradeshow","Event","Physical","Other","0","0","09-11-2023","09-20-2023","Networking","Completed","USD","5000.00","USD","10000.00","4","USD","6720000.00","3","USD","600000.00","USD","4575.00","13014.7540983607","7014X0000036WTdQAM","7014X0000036WTdQAM"
"","Colombia","Networks_COL_SantaMarta_EXpoISP_2023","Camila Rodriguez","Tradeshow","Event","Physical","Brand Awareness","0","5","09-11-2023","10-26-2023","Networking","Completed","USD","4500.00","USD","15000.00","5","USD","237307.91","5","USD","237307.91","USD","4500.00","5173.5092198582","7014X0000036WTEQA2","7014X0000036WTEQA2"
"LatAmENT","Colombia","LATAM_Col_Info_PasarelaPagos_Ent_Mar2024","Camila Rodriguez","Advertisement","Other","Other","Operational","0","0","03-27-2024","03-27-2024","Other","In Progress","","","","","0","USD","0.00","0","USD","0.00","","","","7014X0000022sE5QAI","7014X0000022sE5QAI"
"LatAmENT","Colombia","LATAM_COL_MED_EVENT_CTNubePublicad_MAY2024","Camila Rodriguez","Advertisement","","","Lead Generation","0","0","04-05-2024","05-09-2024","Cloud IT","In Progress","USD","1500.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002exwsQAA","7014X000002exwsQAA"
"LatAmENT","Colombia","LATAM_COL_BUC_EVENT_CTNubePublicad_MAY2024","Camila Rodriguez","Advertisement","","","Lead Generation","0","0","04-05-2024","05-23-2024","Cloud IT","Planned","USD","1500.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002exwtQAA","7014X000002exwtQAA"
"LatAmENT","Colombia","LATAM_COL_BOG_EVENT_Golf_JUN2024","Camila Rodriguez","Advertisement","Event","One-to-Few","Lead Generation","0","0","04-05-2024","06-19-2024","Cloud IT; Networking & Connectivity; Security","Planned","USD","2500.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002exwuQAA","7014X000002exwuQAA"
"LatAmSMB","Colombia","LATAM_COL__EVENT_DatacenterMeet_MID_2024","Camila Rodriguez","Advertisement","","","Lead Generation","0","0","04-01-2024","04-17-2024","Cloud IT","In Progress","USD","1200.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002exhOQAQ","7014X000002exhOQAQ"
"LatAmSMB","Colombia","LATAM_COL_LEADSMID_2024","Camila Rodriguez","Advertisement","","","Lead Generation","0","0","04-09-2024","01-01-2024","Cloud IT; Networking & Connectivity; Security","In Progress","USD","0.00","","","7","USD","74310.88","5","USD","69674.52","USD","0.00","","7014X000002ey2RQAQ","7014X000002ey2RQAQ"
"LatAmENT","Colombia","LATAM_COL_BOG_EVENT_EliteConnections_JUL2024","Camila Rodriguez","Advertisement","Event","One-to-Few","Lead Generation","0","0","04-01-2024","07-22-2024","Cloud IT; Networking & Connectivity; Security","Planned","USD","6000.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002exhsQAA","7014X000002exhsQAA"
"LatAmENT","Colombia","LATAM_COL_CTG_EVENT_BreakfastMeetings_2024","Camila Rodriguez","Advertisement","","","Lead Generation","0","0","04-01-2024","08-08-2024","Cloud IT; Networking & Connectivity; Security","Planned","USD","2000.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002exprQAA","7014X000002exprQAA"
"LatAmENT","Colombia","LATAM_COL_TELEMARKETING_Palmera_2023","Camila Rodriguez","Telemarketing","Call Center","","Lead Generation","0","10","06-05-2023","01-01-2023","Security; It Solution; Networking; UC&C","In Progress","","","","","10","USD","19530.87","0","USD","0.00","","","","7014X000002eerCQAQ","7014X000002eerCQAQ"
"","Colombia","NETWORKS_Event_AndinaLink_Mar2023","Camila Rodriguez","Tradeshow","Event","","Lead Generation","3374","5","01-30-2023","03-07-2023","Networking","Completed","USD","16000.00","USD","40000.00","12","USD","3406631.82","10","USD","3456631.82","USD","16000.00","21503.9488882979","7014X000001ylalQAA","7014X000001ylalQAA"
"LatAmENT","Colombia","LATAM_COL_BOG_AUnaTorreDeDistancia_Ent_Mar2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Lead Generation","30","0","02-06-2023","03-01-2023","Security; It Solution","Completed","USD","500.00","USD","1000.00","3","USD","10651.71","1","USD","1251.06","USD","455.00","174.9590834697","7014X000001ym7QQAQ","7014X000001ym7QQAQ"
"LatAmENT","Colombia","LATAM_COL_Prod_EMISProspecting_Ent_Feb2023","Camila Rodriguez","Email","Email","Offer Email","Other","3369","0","02-20-2023","02-20-2023","Networking","Completed","USD","200.00","USD","2000.00","0","USD","0.00","0","USD","0.00","USD","200.00","-100.0000000000","7014X000001ynS7QAI","7014X000001ynS7QAI"
"LatAmENT","Colombia","COL_Prod_ProspectingJulian_Ent_Feb2023","Camila Rodriguez","Email","Email","Offer Email","Lead Generation","2343","3","01-30-2023","02-06-2023","Security; It Solution; Networking; UC&C","Completed","USD","200.00","USD","1000.00","3","USD","8228.94","2","USD","8228.94","USD","200.00","4014.4680851064","7014X000001ylagQAA","7014X000001ylagQAA"
"LatAmENT","Colombia","LATAM_COL_BOG_ENT_EDURODIZIO_MAR_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Sales Tracking","20","15","04-28-2023","03-30-2023","Security; Networking - Wifi","Completed","USD","500.00","USD","2000.00","3","USD","272312.26","0","USD","0.00","USD","125.00","-100.0000000000","7014X000002POkwQAG","7014X000002POkwQAG"
"LatAmENT","Colombia","LATAM_COL_CAL_ENT_PANELMUJERES_APR_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Brand Awareness","70","32","04-19-2023","05-18-2023","PUSH TO TALK","Completed","USD","3500.00","USD","7500.00","5","USD","571458.06","4","USD","65926.15","USD","3567.00","1748.2239325734","7014X000002PO6cQAG","7014X000002PO6cQAG"
"LatAmENT","Colombia","LATAM_COL_CTG_ENT_EXPATAQUECIBER_APR_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Sales Tracking","100","5","04-11-2023","04-18-2023","PUSH TO TALK","Completed","USD","900.00","USD","1000.00","3","USD","-489.34","2","USD","97.04","USD","250.00","-61.1838638298","7014X000002PNTBQA4","7014X000002PNTBQA4"
"LatAmENT","Colombia","LATAM_COL_BOG_ENT_EMAILFASTTRACK_Q2_2023","Camila Rodriguez","Special Events","Event","Physical","Other","0","0","04-19-2023","04-19-2023","PUSH TO TALK","Aborted","","","","","0","USD","0.00","0","USD","0.00","","","","7014X000002PO6rQAG","7014X000002PO6rQAG"
"LatAmENT","Colombia","LATAM_COL_BOG_ENT_RETSUSHI_APR_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Sales Tracking","125","25","04-06-2023","04-26-2023","Security; It Solution","Completed","USD","1200.00","USD","3500.00","6","USD","394915.10","3","USD","173910.81","USD","1120.00","15427.7508375760","7014X000002PN6bQAG","7014X000002PN6bQAG"
"LatAmENT","Colombia","LATAM_COL_MED_ENT_ACTCOLOMBIANA_MAY_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Brand Awareness","662","66","04-19-2023","05-25-2023","PUSH TO TALK","Completed","USD","4500.00","USD","3000.00","17","USD","6235402.37","9","USD","4700177.67","USD","8475.00","55359.3235744681","7014X000002POA0QAO","7014X000002POA0QAO"
"LatAmSMB","Colombia","LATAM_Col_Prod_CloseLost_Mid_Mar2023","Camila Rodriguez","Email","Email","Offer Email","Other","0","0","03-16-2023","03-16-2023","PUSH TO TALK","Aborted","","","","","0","USD","0.00","0","USD","0.00","","","","7014X000001ypEsQAI","7014X000001ypEsQAI"
"LatAmENT","Colombia","LATAM_COL_BOG_EMAILMARKETINGQ2_MAY_2023","Camila Rodriguez","Email","Email","Offer Email","Lead Generation","9416","8","05-09-2023","05-09-2023","Networking","Completed","USD","200.00","USD","1000.00","0","USD","0.00","0","USD","0.00","USD","200.00","-100.0000000000","7014X000002PPYXQA4","7014X000002PPYXQA4"
"LatAmENT","Colombia","LATAM_COL_BAQ_ENT_EXPATAQUECIBER_APR_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Sales Tracking","100","3","04-11-2023","04-19-2023","Security","Completed","USD","900.00","USD","1000.00","3","USD","3520.64","2","USD","3520.64","USD","250.00","1308.2553191489","7014X000002PNT6QAO","7014X000002PNT6QAO"
"","Colombia","NETWORKS_Event_MetroConnectUSA_Jan_2023","Camila Rodriguez","Tradeshow","Event","","Other","0","0","03-29-2023","01-30-2023","Networking","Completed","USD","15000.00","","","11","USD","7250829.44","4","USD","3593400.00","USD","15000.00","23856.0000000000","7014X000002PMZHQA4","7014X000002PMZHQA4"
"LatAmENT","Colombia","LATAM_COL_MED_ENT_CONSSEGURIDAD_APR_2023","Camila Rodriguez","Email","Email","Offer Email","Other","0","4","04-11-2023","04-11-2023","Security","Aborted","","","","","0","USD","0.00","0","USD","0.00","","","","7014X000002PNLvQAO","7014X000002PNLvQAO"
"LatAmENT","Colombia","LATAM_COL_Info_Rebranding_Ent_May2023","Camila Rodriguez","Email","Email","Offer Email","Brand Awareness","1091","4","05-15-2023","05-15-2023","PUSH TO TALK","Completed","USD","200.00","USD","0.00","0","USD","0.00","0","USD","0.00","USD","200.00","-100.0000000000","7014X000002edC3QAI","7014X000002edC3QAI"
"LatAmENT","Colombia","LATAM_COL_CAL_ENT_ACTCOLOMBIANA_MAY_2023","Camila Rodriguez","Special Events","Event","Physical","Other","0","0","04-19-2023","04-19-2023","PUSH TO TALK","Aborted","","","","","0","USD","0.00","0","USD","0.00","","","","7014X000002PO9vQAG","7014X000002PO9vQAG"
"LatAmSMB","Colombia","LATAM_Col_Prod_CloseLost_Mid_Apr2023","Camila Rodriguez","Email","Email","Offer Email","Brand Awareness","","0","03-29-2023","03-29-2023","PUSH TO TALK","Aborted","","","","","0","USD","0.00","0","USD","0.00","","","","7014X000002PMaAQAW","7014X000002PMaAQAW"
"LatAmENT","Colombia","LATAM_COL_BUC_ENT_LOGWARS_JUN_2023","Camila Rodriguez","Special Events","Event","","Other","0","0","04-19-2023","04-19-2023","PUSH TO TALK","Aborted","","","","","0","USD","0.00","0","USD","0.00","","","","7014X000002POAKQA4","7014X000002POAKQA4"
"LatAmENT","Colombia","LATAM_COL_CTG_ENT_LOGWARS_JUN_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Sales Tracking","40","26","04-19-2023","07-13-2023","Security","Completed","USD","900.00","USD","3000.00","0","USD","0.00","0","USD","0.00","USD","705.00","-100.0000000000","7014X000002POAAQA4","7014X000002POAAQA4"
"LatAmENT","Colombia","LATAM_COL_ENT_OTFDATACENTER_Q2_2023","Camila Rodriguez","One-to-One Sessions","Event","Physical","Sales Tracking","20","12","04-17-2023","05-10-2023","It Solution","Completed","USD","9000.00","USD","12000.00","6","USD","1124290.59","2","USD","148546.38","USD","8163.00","1719.7523334402","7014X000002PNwcQAG","7014X000002PNwcQAG"
"LatAmSMB","Colombia","LATAM_COL_BAQ_MIDB_SEGTOUR_JUN_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Lead Generation","","0","05-05-2023","06-14-2023","Security","Aborted","USD","2000.00","USD","2500.00","0","USD","0.00","0","USD","0.00","USD","1698.00","-100.0000000000","7014X000002PPDqQAO","7014X000002PPDqQAO"
"LatAmSMB","Colombia","LATAM_COL_BOG_MIDB_SEGTOUR_MAY_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Lead Generation","50","26","05-05-2023","05-16-2023","Security","Completed","USD","2000.00","USD","2500.00","9","USD","57131.91","3","USD","9104.68","USD","1192.00","663.8155076396","7014X000002PPDlQAO","7014X000002PPDlQAO"
"LatAmSMB","Colombia","LATAM_COL_MED_MIDB_SEGTOUR_JUN_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Lead Generation","65","25","05-05-2023","06-02-2023","Security","Completed","USD","2000.00","USD","2500.00","11","USD","202472.40","2","USD","38954.53","USD","1651.00","2259.4504942201","7014X000002PPDmQAO","7014X000002PPDmQAO"
"LatAmENT","Colombia","LATAM_COL_CTG_ECODIGMETAVERSO_JUN_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Sales Tracking","125","32","04-17-2023","06-15-2023","Security; It Solution","Completed","USD","4500.00","USD","3000.00","0","USD","0.00","0","USD","0.00","USD","3998.00","-100.0000000000","7014X000002PNx1QAG","7014X000002PNx1QAG"
"LatAmENT","Colombia","LATAM_COL_CUC_REBRANDING_MAY_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Lead Generation","125","11","04-19-2023","05-17-2023","PUSH TO TALK","Completed","USD","2000.00","USD","500.00","3","USD","18357.71","0","USD","0.00","USD","1304.00","-100.0000000000","7014X000002PO9qQAG","7014X000002PO9qQAG"
"LatAmENT","Colombia","LATAM_COL_BOG_BrightPattern_Ent_Jul_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Sales Tracking","30","19","08-04-2023","07-27-2023","UC&C - CCoD","Completed","USD","1500.00","USD","2500.00","1","USD","2553.19","0","USD","0.00","USD","800.00","-100.0000000000","7014X000002emkWQAQ","7014X000002emkWQAQ"
"","Colombia","NETWORKS_Info_RazonSocial_Ent_Jul2023","Camila Rodriguez","Email","Email","Offer Email","Other","856","0","07-21-2023","07-21-2023","PUSH TO TALK","Completed","USD","200.00","USD","0.00","0","USD","0.00","0","USD","0.00","USD","200.00","-100.0000000000","7014X000002ej8MQAQ","7014X000002ej8MQAQ"
"","Colombia","NETWORKS_Event_Andicom__Sep2023","Camila Rodriguez","Tradeshow","Email","Offer Email","Brand Awareness","37265","573","07-14-2023","09-06-2023","Networking","Completed","USD","0.00","USD","0.00","0","USD","0.00","0","USD","0.00","","","","7014X000002ehgqQAA","7014X000002ehgqQAA"
"","Colombia","LATAM_COL_EducationSummit_Feb_2024","Camila Rodriguez","Special Events","Event","Physical","Sales Tracking","20","0","08-04-2023","02-07-2024","It Solution; Networking","Planned","USD","30000.00","USD","100000.00","0","USD","0.00","0","USD","0.00","","","","7014X000002emkHQAQ","7014X000002emkHQAQ"
"LatAmENT","Colombia","LATAM_COL_BOG_IBMBogota_Ent_Jun2023","Camila Rodriguez","Tradeshow","Event","Physical","Sales Tracking","120","0","07-17-2023","06-12-2023","It Solution - IaaS","Completed","USD","200.00","USD","0.00","1","USD","65106.38","1","USD","65106.38","USD","200.00","32453.1914893617","7014X000002ehs3QAA","7014X000002ehs3QAA"
"LatAmENT","Colombia","LATAM_COL_BAQ_EVENT_VulnerabilityOTF_APR2024","Camila Rodriguez","Advertisement","Event","One-to-Few","Lead Generation","0","0","04-05-2024","04-17-2024","Security","Completed","USD","1500.00","","","0","USD","0.00","0","USD","0.00","USD","1003.00","-100.0000000000","7014X000002exwYQAQ","7014X000002exwYQAQ"
"LatAmENT","Colombia","LATAM_COL_MED_EVENT_VulnerabilityOTF_APR2024","Camila Rodriguez","Advertisement","Event","One-to-Few","Lead Generation","0","0","04-05-2024","04-19-2024","Security","Completed","USD","1500.00","","","0","USD","0.00","0","USD","0.00","USD","902.00","-100.0000000000","7014X000002exwdQAA","7014X000002exwdQAA"
"LatAmENT","Colombia","LATAM_COL_Costa_EVENT_DatacenterMeet_FEB2024","Camila Rodriguez","Advertisement","","","Lead Generation","0","0","04-05-2024","02-21-2024","Cloud IT","Completed","USD","700.00","","","1","USD","142114.56","1","USD","142114.56","USD","312.00","45449.5370770961","7014X000002exweQAA","7014X000002exweQAA"
"LatAmENT","Colombia","LATAM_COL_BAQ_EVENT_AntiramsomwareMeetings_JUN2024","Camila Rodriguez","Advertisement","Event","One-to-Few","Lead Generation","0","0","04-05-2024","07-19-2024","Security","Planned","USD","1500.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002exwfQAA","7014X000002exwfQAA"
"LatAmENT","Colombia","LATAM_COL_BAQ_EVENT_ProbarranquillaDonación _2024","Camila Rodriguez","Advertisement","Event","Partner/Sponsor","Brand Awareness","0","0","04-01-2024","04-30-2024","Cloud IT; Networking & Connectivity; None; Security","In Progress","USD","2500.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002exhYQAQ","7014X000002exhYQAQ"
"","Colombia","LATAM_COL_BUC_EVENT_ZFMeet_AGO2024","Camila Rodriguez","Advertisement","","","Lead Generation","0","0","04-01-2024","08-15-2024","Cloud IT; Networking & Connectivity; Security","Planned","USD","1200.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002exphQAA","7014X000002exphQAA"
"LatAmENT","Colombia","LATAM_COL_Costa_EVENT_CFXMeetings _2024","Camila Rodriguez","Advertisement","","","Lead Generation","0","0","04-01-2024","05-11-2024","Networking & Connectivity","Planned","USD","1500.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002exi7QAA","7014X000002exi7QAA"
"LatAmSMB","Colombia","LATAM_COL__EVENT_TomaEdificios_MID_2024","Camila Rodriguez","Advertisement","","","Lead Generation","0","0","04-01-2024","05-17-2024","Cloud IT; Networking & Connectivity; Security","Planned","USD","2000.00","","","0","USD","0.00","0","USD","0.00","","","","7014X000002exhTQAQ","7014X000002exhTQAQ"
"LatAmENT","Colombia","LATAM_COL_BOG_EVENT_BreakfastMeetings_2024","Camila Rodriguez","Advertisement","Event","One-to-One","Lead Generation","0","0","04-01-2024","05-08-2024","Cloud IT; Networking & Connectivity; Security","In Progress","USD","6000.00","","","0","USD","0.00","0","USD","0.00","USD","283.00","-100.0000000000","7014X000002exhnQAA","7014X000002exhnQAA"
"","Colombia","LATAM_COL_prod_SmartSolutions_Mid_Jan_2024","Camila Rodriguez","Email","Email","Offer Email","Other","0","0","09-13-2023","01-20-2024","Security; Networking","In Progress","","","","","0","USD","0.00","0","USD","0.00","","","","7014X0000036WbDQAU","7014X0000036WbDQAU"
"LatAmENT","Colombia","LATAM_COL_LEADSENT_2024","Camila Rodriguez","Advertisement","Website","","Lead Generation","0","0","05-01-2024","01-01-2024","Cloud IT; Networking & Connectivity; Security","In Progress","USD","0.00","","","0","USD","0.00","0","USD","0.00","USD","0.00","","7014X000002ezCLQAY","7014X000002ezCLQAY"
"LatAmENT","Colombia","LATAM_COL_BOG_ENT_SDWANTour_Nov_2023","Camila Rodriguez","Seminar / Conference","Event","Physical","Sales Tracking","","394","09-18-2023","11-23-2023","Security","In Progress","USD","1500.00","USD","3000.00","1","USD","78515.91","0","USD","0.00","USD","1500.00","-100.0000000000","7014X0000036WixQAE","7014X0000036WixQAE"
"LatAmENT","Colombia","col_prod_topaccounts_ent_2023","Camila Rodriguez","Email","Email","Offer Email","Lead Generation","117","0","02-08-2023","02-20-2023","Security; It Solution; Networking","Completed","USD","4666.00","USD","0.00","0","USD","0.00","0","USD","0.00","USD","298.00","-100.0000000000","7014X000001ymMGQAY","7014X000001ymMGQAY"
