Opportunity Name,New MRR (converted),Net MRR (converted),Net TCV (converted),Country of Origin,Account Name,Sales Type,TransactionTypeList,Opportunity Owner,Created Date,Close Date,Primary Campaign Purpose,Campaign Type,Campaign Name,Country of Origin,Created Date,Start Date,Opportunity Owner: Manager,Reporting Business Unit,Category,Sub-Category,Stage,Status
Serviunix - Collocation - Tocancipá,"USD 1,934.76","USD 1,934.76","USD 69,651.29",Colombia,SERVIUNIX SAS,New Customer,New Service,Daniel Penagos,11/21/23,5/31/24,Sales Tracking,Advertisement,Referidos Bitubi,Colombia,11/16/23,11/1/23,Fernando Villate,,Direct Sales,,Solution Design,Pipeline
Cooperen-IaaS,USD 857.47,USD 857.47,"USD 20,579.34",Colombia,"COOPEREN, COOPERATIVA DE AHORRO Y CRÉDITO",New Customer,New Service,Maria Ruiz,11/17/23,5/31/24,Sales Tracking,Other,Referidos Canal Luval,Colombia,11/16/23,11/1/23,Fernando Villate,,Direct Sales,,Solution Design,Pipeline
Hidalgo_Global_MDIA,USD 236.22,USD 236.22,"USD 5,669.29",Colombia,GLOBAL - TEC S.A.S,Upsale/Crossale,New Service,Yader Pachon,6/9/23,6/25/24,Brand Awareness,Seminar / Conference,LATAM_COL_BAQ_SmartmovIlity_MID_JUN_2023,Colombia,6/12/23,6/15/23,Fernando Villate,LatAmSMB,Event,,Solution Design,Pipeline
Hlobal_Edificio ION73_GPON 30/35,USD 26.60,USD 26.60,USD 957.45,Colombia,GLOBAL - TEC S.A.S,Upsale,New Service,Yader Pachon,8/28/23,8/29/23,Brand Awareness,Seminar / Conference,LATAM_COL_BAQ_SmartmovIlity_MID_JUN_2023,Colombia,6/12/23,6/15/23,Fernando Villate,LatAmSMB,Event,,Closed Won,Won
Global - GPON - 200/100,USD 53.19,USD 53.19,"USD 1,276.60",Colombia,GLOBAL - TEC S.A.S,Upsale,New Service,Yader Pachon,6/15/23,6/19/23,Brand Awareness,Seminar / Conference,LATAM_COL_BAQ_SmartmovIlity_MID_JUN_2023,Colombia,6/12/23,6/15/23,Fernando Villate,LatAmSMB,Event,,Closed Won,Won
Global - 1G - Med.,USD 957.45,USD 957.45,"USD 22,978.72",Colombia,GLOBAL - TEC S.A.S,Upsale/Crossale,New Service,Yader Pachon,5/25/23,8/14/23,Brand Awareness,Seminar / Conference,LATAM_COL_BAQ_SmartmovIlity_MID_JUN_2023,Colombia,6/12/23,6/15/23,Fernando Villate,LatAmSMB,Event,,Closed Lost,Lost
Global_SanJorgeMDIA_ Bodega MIC,USD 42.55,USD 42.55,"USD 1,021.28",Colombia,GLOBAL - TEC S.A.S,Upsale/Crossale,New Service,Yader Pachon,5/30/23,10/6/23,Brand Awareness,Seminar / Conference,LATAM_COL_BAQ_SmartmovIlity_MID_JUN_2023,Colombia,6/12/23,6/15/23,Fernando Villate,LatAmSMB,Event,,Closed Lost,Lost
Global - El portal - GPON 30/13 - Laureles,USD 26.60,USD 26.60,USD 638.30,Colombia,GLOBAL - TEC S.A.S,Upsale,New Service,Yader Pachon,5/9/23,5/10/23,Brand Awareness,Seminar / Conference,LATAM_COL_BAQ_SmartmovIlity_MID_JUN_2023,Colombia,6/12/23,6/15/23,Fernando Villate,LatAmSMB,Event,,Closed Won,Won
Global -Conectividad - Villao - MiC - MDIA,USD 37.23,USD 37.23,USD 893.62,Colombia,GLOBAL - TEC S.A.S,Upsale,New Service,Yader Pachon,5/9/23,5/16/23,Brand Awareness,Seminar / Conference,LATAM_COL_BAQ_SmartmovIlity_MID_JUN_2023,Colombia,6/12/23,6/15/23,Fernando Villate,LatAmSMB,Event,,Closed Won,Won
